what are bigos?	["Stew"]	["Polish food"]
who financed sir francis drake?	["francis drake commissioned by queen elizabeth i of england"]	["Sir Francis Drake Hotel", "Drakes Bay"]
who plays dwight in the office?	["Rainn Wilson"]	["Rainn Wilson"]
what did ferdinand magellan do?	["Navigator", "Explorer"]	["Navigator", "Sailor", "Explorer"]
what's my timezone in oklahoma?	["Central Time Zone"]	["Central Time Zone", "UTC\u221206:00"]
who is vancouver canucks coach?	["Alain Vigneault"]	["John Tortorella", "Alain Vigneault"]
what two states is st louis in?	["Missouri"]	["Missouri"]
what did mark zuckerberg study?	["Harvard University"]	["Harvard University", "Phillips Exeter Academy", "Ardsley High School", "Mercy College"]
what was jesse owens education?	["Ohio State University"]	["Ohio State University", "East Technical High School"]
where did joseph's family live?	["Canaan"]	["Egypt"]
where is tupac from originally?	["East Harlem"]	["East Harlem"]
what to see in phoenix arizona?	["Grand Canyon", "Phoenix Mountain Preserve", "Phoenix Art Museum", "Desert Botanical Garden", "Heard Museum", "Musical Instrument Museum", "Arizona Science Center", "Ro Ho En", "Mesa Arts Center", "Pueblo Grande Ruin"]	["Ro Ho En", "Grand Canyon", "Heard Museum", "Phoenix Art Museum", "Mesa Arts Center", "Phoenix Mountain Preserve", "Arizona Science Center", "Musical Instrument Museum", "Pueblo Grande Ruin", "Desert Botanical Garden"]
where was franz ferdinand from?	["Glasgow"]	["Glasgow"]
where did dolly parton grow up?	["Tennessee"]	["Sevierville"]
where are the nordic countries?	["Northern Europe"]	["Northern Europe"]
what has ashley greene been in?	["Skateland", "New Moon", "Radio Free Albemuth", "A Warrior's Heart", "Eclipse", "Summer's Blood", "King of California", "The Apparition", "Twilight", "The Twilight Saga: Breaking Dawn - Part 1"]	["CBGB", "The Boom Boom Room", "Americana", "Random", "Eclipse", "New Moon", "Shrink", "A Warrior's Heart", "Twilight", "The Apparition", "The Twilight Saga: Breaking Dawn - Part 1", "Butter", "Skateland", "The Twilight Saga: Breaking Dawn - Part 2", "Radio Free Albemuth", "Summer's Blood", "Otis", "LOL: Laughing Out Loud", "King of California"]
what did alice paul accomplish?	["Silent Sentinels", "National Woman's Party"]	["Women's suffrage"]
who did messi have a baby with?	["Antonella Roccuzzo"]	["Antonella Roccuzzo"]
what language do maltese speak?	["Maltese Language", "English Language"]	["1996-10-21"]
what cancer did patrick swayze?	["Pancreatic cancer"]	["Pancreatic cancer"]
what was firefox programmed in?	["XUL", "XBL", "JavaScript", "C++", "Cascading Style Sheets"]	["C++", "Cascading Style Sheets", "JavaScript", "XUL", "XBL"]
what county is frederick md in?	["Frederick County"]	["Frederick County"]
what to do downtown sacramento?	["Zac Hill"]	["Raging Waters Sacramento", "Sacramento Zoo", "Crocker Art Museum", "Sutter's Fort", "California State Capitol Museum", "Folsom Lake", "California State Railroad Museum", "California State Indian Museum", "Sacramento History Museum", "California Automobile Museum"]
what state does romney live in?	["Massachusetts"]	["Massachusetts", "Bloomfield Hills"]
where is giza pyramids located?	["Egypt", "Giza Governorate"]	["Egypt"]
who does ron stoppable's voice?	["Will Friedle"]	[]
what language do they in ghana?	["English Language"]	["English Language"]
who did carlos boozer play for?	["Utah Jazz", "Cleveland Cavaliers"]	["Chicago Bulls"]
what standard time is michigan?	["Central Time Zone", "North American Eastern Time Zone", "UTC-5"]	["Central Time Zone", "Eastern Time Zone", "UTC-5"]
what is william taft known for?	["President of the United States"]	["Lawyer", "Judge", "Jurist"]
what is michael kors real name?	["Karl Anderson"]	["Joan Hamburger", "Karl Anderson"]
when was abe lincoln president?	["Abraham Lincoln 1865 presidential inauguration", "Abraham Lincoln 1861 presidential inauguration"]	["1865-04-15"]
where was anne boleyn executed?	["Tower of London"]	["Tower of London"]
what is the best tour to egypt?	["eg"]	["Australia"]
when will the world end mayans?	["2012"]	["League of Nations", "Apache Software Foundation", "Crown Partners", "carman communications", "Maximise", "G-20 major economies", "Wiser.org", "The Church of Jesus Christ of Latter-day Saints", "Hewlett-Packard", "Google", "United Nations Population Fund", "RAND", "Pirate Party International", "World Association of Girl Guides and Girl Scouts", "Dell", "The Sacred Band of Stepsons", "Deep Thought Games, LLC", "Robert Gordon University", "KLIK OPM", "Creative Commons", "alaTest", "Global Underwater Explorers", "Czech Board Games", "Peace One Day", "Artists Recording Collective", "Key Account Trading Sampanie Vin Whisky Cognac", "Yandex", "Abbeywood Records", "Droog", "Mercedes-Benz", "National Association of Underwater Instructors", "Ontology2", "Ninety-Nines", "Sourcefire", "World Organization of the Scout Movement", "International Neuropsychoanalysis Society", "Wi-Fi Alliance", "LHP Records", "Professional Association of Diving Instructors", "International Scout and Guide Fellowship", "FINA", "World Full Contact Association", "Scuba Schools International", "Good Goes", "Railway Children", "Guardian Angels", "OpticsPlanet", "Technical Diving International", "F\u00e9d\u00e9ration Internationale de Volleyball", "One Drop Foundation", "Treehawk Health LLC", "Unified Team Diving", "American Association on Intellectual and Developmental Disabilities"]
what is arkansas state capitol?	["Little Rock"]	["Little Rock"]
where does airtran airways fly?	["LaGuardia Airport", "Southwest Florida International Airport", "Indianapolis International Airport", "Logan International Airport", "Chicago Midway International Airport", "Fort Lauderdale\u2013Hollywood International Airport", "General Mitchell International Airport", "Akron-Canton Airport", "Port Columbus International Airport", "Tampa International Airport"]	["Atlanta", "Orlando"]
what was van halen first album?	["Van Halen"]	["Mini Best", "Panama", "One I Want", "Fire in the Hole", "Secrets", "For Unlawful Carnal Knowledge", "Van Halen II", "5150", "Diver Down", "Balance", "Van Halen", "Feels So Good", "Dancing in the Street", "Me Wise Magic", "Best Of, Volume 1", "Jump", "Top of the World", "Up for Breakfast", "Tattoo", "Dreams", "Black and Blue", "You Really Got Me", "So This Is Love?", "Van Halen III", "OU812", "The Best of Both Worlds", "A Different Kind of Truth", "Van Halen Live: Right Here, Right Now", "Unchained", "The Dream Is Over", "Fair Warning", "Women and Children First", "Live: Right Here, Right Now", "Why Can't This Be Love", "Hot for Teacher", "Won't Get Fooled Again", "Love Walks In", "1984", "Man on a Mission", "Can't Stop Lovin' You", "Don't Tell Me (What Love Can Do)", "Best of Volume I", "Can't Get This Stuff No More", "Dance the Night Away", "Jump / House of Pain [Digital 45]", "Push Comes to Shove", "Where Have All the Good Times Gone", "Poundcake", "Cabo Wabo", "Runnin' with the Devil", "Ain't Talkin' 'Bout Love", "Without You", "And the Cradle Will Rock...", "(Oh) Pretty Woman", "Finish What Ya Started", "Jump (live)", "Runaround", "She's the Woman", "Right Now", "Amsterdam", "Studio Albums 1978-1984", "When It's Love", "I'll Wait", "Video Hits Volume I", "Summer Nights", "Mean Street", "Little Guitars", "Jump", "Not Enough", "Best of Both Worlds", "Humans Being", "It's About Time", "Mine All Mine", "The Full Bug", "The Seventh Seal", "Beautiful Girls"]
when did tony romo got drafted?	["2002"]	["Dallas Cowboys"]
what kind of guitar john mayer?	["Fender Stratocaster"]	["Fender Stratocaster"]
where does carlos santana live?	["Jalisco"]	["San Francisco", "Tijuana", "Jalisco"]
where did louis sachar grow up?	["East Meadow"]	["New York", "Austin", "Tustin"]
what is steve nash nationality?	["Canada"]	["England", "Canada"]
where does kurdish people live?	["Asia"]	["Asia"]
where did edgar allan poe died?	["Baltimore"]	["Baltimore"]
what do people speak in canada?	["French Language", "English Language"]	["English Language", "French Language"]
what is jamie spears baby name?	["Bryan Spears"]	["Maddie Briann Aldridge"]
where to go in vietnam beaches?	["\u0110\u1eafk N\u00f4ng Province"]	["Benjamin Boukpeti"]
what team did jeremy lin go to?	["Houston Rockets"]	["New York Knicks", "Houston Rockets"]
who was saint paul the apostle?	["Tentmaker", "Prophet", "Writer", "Missionary", "Martyr"]	["Writer", "Prophet", "Missionary", "Tentmaker"]
what's there to see in atlanta?	["Atlanta History Center", "Atlanta Cyclorama & Civil War Museum", "Atlanta Ballet", "Fernbank Museum of Natural History", "Woodruff Arts Center", "Zoo Atlanta", "Atlanta Symphony Orchestra", "Centennial Olympic Park", "Martin Luther King, Jr., National Historic Site", "Fernbank Science Center"]	["Zoo Atlanta", "Margaret Mitchell House & Museum", "Georgia Dome", "Atlanta History Center", "Atlanta Symphony Orchestra", "CNN Center", "Fernbank Science Center", "Turner Field", "Georgia Aquarium", "Six Flags Over Georgia", "Fox Theatre", "Jimmy Carter Library and Museum", "Atlanta Cyclorama & Civil War Museum", "Centennial Olympic Park", "World of Coca-Cola", "Woodruff Arts Center", "Six Flags White Water", "Martin Luther King, Jr., National Historic Site", "Fernbank Museum of Natural History", "Atlanta Ballet"]
what did shannon hoon die from?	["Drug overdose"]	["Drug overdose"]
where is chesapeake bay bridge?	["Anne Arundel County", "Queen Anne's County"]	["Chesapeake Bay Bridge", "Chesapeake Bay Bridge-Tunnel"]
who is louisiana state senator?	["Mary Landrieu"]	["Louisiana"]
what the largest city in spain?	["Madrid"]	["Madrid"]
where do florida panthers play?	["BB&T Center"]	["BB&T Center", "Miami Arena"]
what bible do catholics follow?	["Book of Nehemiah", "The Bible", "New Testament", "Old Testament"]	["Virgin birth of Jesus", "Transubstantiation", "Infallibility of the Church", "Papal infallibility"]
where does houston dynamo play?	["Houston"]	["BBVA Compass Stadium"]
who is angelina jolies brother?	["James Haven"]	["James Haven"]
what do they speak in scotland?	["Scottish English"]	["English Language", "Old English"]
when did william mckinley died?	["9/14/1901"]	["Buffalo"]
what language do british speak?	["Scottish Gaelic language", "Scots Language", "Cornish Language", "Irish", "English Language", "Welsh Language", "Guern\u00e9siais", "Ulster Scots dialects", "J\u00e8rriais", "Manx Language"]	["Acid Bell"]
what did james chadwick invent?	["Neutron"]	["Chadwick"]
who is jamie little engaged to?	["Cody Selman"]	["Cody Selman"]
where is jamarcus russell from?	["Mobile"]	["Mobile"]
what did george orwell died of?	["Tuberculosis"]	["Tuberculosis"]
when did shays rebellion start?	["1786"]	["1786"]
who did sir francis drake marry?	["Mary Newman", "Elizabeth Sydenham"]	["Mary Newman", "Elizabeth Sydenham"]
what was nikola tesla known for?	["Inventor"]	["Inventor", "Physicist", "Scientist", "Electrical engineer", "Mechanical Engineer", "Futurist"]
who is captain james cook facts?	["Explorer"]	["Sailor", "Explorer"]
what to do in bangkok in 4 days?	["MRT Blue Line", "Wat Benchamabophit", "Grand Palace", "Ananta Samakhom Throne Hall", "Wat Saket", "Khaosan Road", "Bangkok National Museum", "Samutprakarn Crocodile Farm and Zoo", "Wat Pho", "Wat Arun"]	["Wat Pho", "Grand Palace", "Safari World", "Wat Benchamabophit", "Wat Arun", "Rajamangala Stadium", "Samutprakarn Crocodile Farm and Zoo", "Bangkok National Museum", "Ananta Samakhom Throne Hall", "Khaosan Road", "Wat Saket"]
where is denmark south carolina?	["South Carolina", "Bamberg County", "United States of America"]	["South Carolina", "United States of America", "Bamberg County"]
who was john f kennedy's family?	["John F. Kennedy, Jr.", "Patrick Bouvier Kennedy", "Arabella Kennedy", "Caroline Kennedy"]	["Lee Harvey Oswald"]
what did f. scott fitzgerald do?	["Poet", "Novelist", "Writer"]	["Novelist", "Poet", "Writer"]
what is serbian language called?	["Serbian language"]	["Croatia", "Austria", "Bosnia and Herzegovina", "Czech Republic", "Montenegro", "Republic of Macedonia", "Serbia and Montenegro"]
who played lauren reed on alias?	["Melissa George"]	["Melissa George"]
what did gerald r ford die from?	["Cardiovascular disease"]	["Cardiovascular disease"]
what are the catholic holy days?	["Name day", "Saint Patrick's Day", "Maundy Thursday", "Palm Sunday", "Saint George's Day", "Saint Joseph's Day", "Christmas"]	["Day"]
what team did brandon roy go to?	["Minnesota Timberwolves"]	["Minnesota Timberwolves"]
who is nicolas cage married too?	["Nicolas Cage; Katherine Heigl"]	["Alice Kim", "Patricia Arquette", "Lisa Marie Presley"]
where was the assyrian homeland?	["Middle East"]	["Assyrian homeland"]
when did we start war with iraq?	["2001"]	["August 2011 Turkey-Iraq cross-border raids", "Anglo-Iraqi War", "April 2009 Baghdad bombings", "Operation Sinbad", "Battle of Hanna", "Battle of Wadi", "CIMIC-House battle", "Assassination of Waldemar Milewicz", "Fourth Aliyah", "Operation Hammer", "Battle of Karbala", "Operation Northern Lights", "Operation Desert Shield", "1991 uprisings in Iraq", "Arab Revolt", "Ottoman\u2013Persian War", "2007 Tal Afar bombings and massacre", "23 April 2009 Iraqi suicide attacks", "War on Terrorism", "1978 Arab League summit", "Iraq War", "Operation Mawtini", "Gulf War", "Ottoman\u2013Safavid War", "Ottoman\u2013Safavid War", "Mesopotamian campaign", "Operation Southern Watch", "Operation Southern Focus", "2008 Turkish incursion into northern Iraq", "2007 Amirli bombing", "Battle of Nahrawan", "Operation Murfreesboro", "Iraq spring fighting of 2008", "2008 Al-Qaeda offensive in Iraq", "Battle of the Marshes", "Operation Saber Guardian", "Operation Grenada", "2007 Kirkuk bombings", "30 June 2009 Kirkuk bombing", "Ottoman\u2013Safavid War (1578\u20131590)", "Iran\u2013PJAK conflict", "Haifa Street helicopter incident", "Unification of Saudi Arabia", "Operation Northern Watch", "Ottoman\u2013Safavid War", "Iraq spring fighting of 2004", "Lake Tharthar Raid", "Battle of Haifa Street", "Operation Imposing Law", "Diyala campaign", "Operation Tiger Hammer", "Operation Ardennes", "Operation Arbead II", "Operation Phantom Thunder", "Operation Commando Eagle", "Operation Marne Torch", "Operation Peregrine II", "Operation Sledgehammer", "Operation Marne Avalanche", "Operation Eagle Ares", "Operation Leyte Gulf", "Operation Polar Tempest", "Operation Geronimo Strike III", "Operation Safe Teach", "Operation Purple Haze", "Operation Alljah", "Operation Airborne Dragon", "Operation Phantom Strike", "Withdrawal of U.S. troops from Iraq", "Ramadan Offensive", "2006 Ramadan Offensive", "Operation Phantom Phoenix", "Ninawa campaign", "Operation Bull Run", "Operation Bayonet Lightning", "Operation Desert Scorpion", "Battle of Samarra", "Battle of Al Rumaythah", "Battle of Zumail", "Iraqi constitutional referendum, 2005", "Battle of Es Sinn", "Battle of Sheikh Sa'ad", "Operation Kaman 99", "2003 invasion of Iraq", "Operation Steel Curtain", "Iraqi governorate elections, 2005", "Karbala provincial headquarters raid", "2007 al-Askari Mosque bombing", "25 October 2009 Baghdad bombings", "Imam Abbas Mosque bombing", "Iran\u2013Iraq War", "2007 al-Khilani Mosque bombing", "Battle of 73 Easting", "12 February 2007 Baghdad bombings", "History of Iraq", "Islamic Army-al-Qaeda conflict", "June 2009 Baghdad bombing", "Civil war in Iraq", "Battle of Shaiba", "Battle of Walaja", "2008 Karbala bombing", "Battle of Qurna", "2007 Al Amarah bombings", "Battle of Dawmat al-Jandal", "2003 attack on Karbala", "Battle of Al-Anbar", "Battle of Dayr al-'Aqul", "2007 Balad aircraft crash", "Iraqi parliamentary election, January 2005", "Battle of River", "Battle of Ayn al-Tamr", "Battle of Muzayyah", "Battle of Firaz", "Battle of Ullais", "Fao Landing", "Execution of Saddam Hussein", "Victory Fuel Point fuel thefts", "Babil governorate council election, 2005", "Operation Provide Comfort", "Battle of St. Lucia", "Gulf War air campaign", "Operation Simoom", "August 2009 Baghdad bombings", "2009 Al Anbar VBIED Campaign", "Operation Forsythe Park", "Operation Morvarid", "Battle of Nasielsk", "XV-179 attack", "Operation Four Brothers", "14 July Revolution", "Afsharid-Ottoman War (1730-1735)", "Battle of Jalula", "Operation Crazyhorse Thunder", "2008 Dujail bombing", "2005 Balad bombings", "Al-Anfal Campaign", "Operation Red Dawn", "Iraq War troop surge of 2007", "U.S. raid on the Iranian Liaison Office in Arbil", "3 February 2007 Baghdad market bombing", "18 February 2007 Baghdad bombings", "Mustansiriya University bombings", "2007 Al Hillah bombings", "2007 Iraqi Parliament bombing", "18 April 2007 Baghdad bombings", "2007 Mosul massacre", "Falluja Precursors", "29 March 2007 Baghdad bombings", "Battle of Diwaniya", "2004 Fallujah ambush", "Operation Stampede 3", "1 August 2007 Baghdad bombings", "Battle of Donkey Island", "2007 Makhmour bombing", "1 February 2008 Baghdad bombings", "Operation Lion's Leap", "Basra prison incident", "Operation Lion Pounce", "2004 Baghdad refusal of orders", "2008 Baquba bombings", "6 March 2008 Baghdad bombing", "2008 Balad Ruz bombing", "2008 attacks on Christians in Mosul", "Ninawa governorate council election, 2005", "Al-Anbar governorate council election, 2005", "Operation Airone", "Camp Liberty killings", "2009 Tal Afar bombing", "Christian Peacemaker hostage crisis", "December 2009 Baghdad bombings", "2008 Karmah Bombing", "First Battle of Tamao", "25 August 2010 Iraq bombings", "Ishaqi incident", "Iraqi Leaders Initiative", "Mukaradeeb wedding party massacre", "Caliphal Civil War", "2012 Arab League summit", "Air engagements of the Gulf War", "Kidnapping of Jalal Sharafi", "22 January 2007 Baghdad bombings", "2005 Khanaqin bombings", "Imam Hussein Mosque bombing", "2007 Yazidi communities bombings", "2007 Abu Sayda bombing", "17 June 2008 Baghdad bombing", "Operation Dragon Fire East", "Mahmudiyah killings", "Rescue of Giuliana Sgrena", "28 September 2008 Baghdad bombings", "Iraqi insurgency", "Iraqi parliamentary election, December 2005", "Operation Karbala-6", "Operation Dawn 3", "Operation Karbala-4", "May 2007 abduction of U.S. soldiers in Iraq", "Blackwater Baghdad shootings", "Battle of Norfolk", "Mongol invasions of Syria", "Battle of Phase Line Bullet", "8 March 2009 Baghdad police recruitment centre bombing", "2008 Balad bombing", "Operation Steel", "Operation Dawn", "Operation Northern Iraq", "Operation Valiant Guardian", "2009 Taza bombing", "Battle of Baqubah", "2007 Iraq cholera outbreak", "Highway of Death", "Battle of Saniyy", "Hamdania incident", "Operation Black Eagle", "Operation Karbala 10", "Battle of Wadi Al-Batin", "Battle of Route Bismarck", "26 July 2007 Baghdad market bombing", "2005 Baghdad bridge stampede", "Human rights in Saddam Hussein's Iraq", "First Kurdish\u2013Iraqi War", "2007 Karbala bombings", "Cruise missile strikes on Iraq", "Operation Desert Thrust"]
who does jordan palmer play for?	["Jacksonville Jaguars"]	["Jacksonville Jaguars"]
what state is barack obama from?	["Hawaii"]	["Illinois"]
what are malaysian coins called?	["Malaysian ringgit"]	["Numismatics", "Coin collecting"]
who does david beckham play for?	["Paris Saint-Germain F.C."]	["Paris Saint-Germain F.C.", "LA Galaxy"]
who founded new york university?	["Albert Gallatin", "Mordecai Manuel Noah"]	["Albert Gallatin", "Mordecai Manuel Noah"]
where was farrah fawcett buried?	["Westwood Village Memorial Park Cemetery"]	["Westwood Village Memorial Park Cemetery"]
who played obi wan in episode 2?	["Ewan McGregor"]	["Alec Guinness", "James Arnold Taylor", "Ewan McGregor"]
what shows are shot in new york?	["Flight of the Conchords", "The Stand"]	["The Stand", "Flight of the Conchords"]
when does jewish new year start?	["Yiddish Language"]	["Erev Rosh Hashanah"]
what language do russians speak?	["Russian Language"]	["Russian Language"]
when did arsenal won the league?	["2004\u201305 FA Cup", "FA Cup 2002\u201303", "2002 FA Cup Final", "FA Cup 1978\u201379", "2005 FA Cup Final", "2003 FA Cup Final", "FA Cup 1997\u201398", "FA Cup 1992\u201393", "FA Cup 1970\u201371", "2001\u201302 FA Cup"]	["2002\u201303 FA Cup", "1978\u201379 FA Cup", "2005 FA Cup Final", "1997\u201398 FA Cup", "2004\u201305 FA Cup", "2001\u201302 FA Cup", "1970\u201371 FA Cup", "2002 FA Cup Final", "1992\u201393 FA Cup", "2003 FA Cup Final"]
what did lincoln steffens wrote?	["The shame of the cities"]	["The autobiography of Lincoln Steffens", "The Shame of the Cities", "Upbuilders", "The struggle for self-government", "The Old Jim Horse", "The world of Lincoln Steffens", "Lincoln Steffens speaking", "The Least Of These", "Moses in red", "Die Geschichte meines Lebens", "Boy on horseback", "John Reed", "Into Mexico and out"]
what was scottie pippen good at?	["Basketball"]	["Small forward"]
what is eminem's real full name?	["Marshall Bruce Mathers, Jr."]	["Alaina Mathers", "Hailie Jade Scott", "Whitney Mathers"]
what has charlie hunnam been in?	["Deadfall", "Nicholas Nickleby", "Pacific Rim", "Green Street", "Frankie Go Boom", "The Ledge", "Children of Men", "Abandon", "Cold Mountain", "Whatever Happened to Harold Smith?"]	["Green Street", "Pacific Rim", "Nicholas Nickleby", "Deadfall", "Children of Men", "The Ledge", "Abandon", "Cold Mountain", "Frankie Go Boom", "Whatever Happened to Harold Smith?"]
what is cindy sherman known for?	["Photographer"]	["Photographer", "Film Director", "Artist"]
what happened to jill valentine?	["BSAA"]	["Police officer"]
what is william taft famous for?	["President of the United States"]	["Lawyer", "Judge", "Jurist"]
what discovery did galileo make?	["Ganymede", "Callisto", "Europa", "Galilean moons", "Io"]	["Callisto", "Galilean moons", "Europa", "Ganymede", "Io"]
what currency is used in panama?	["United States dollar", "Panamanian balboa"]	["United States dollar", "Panamanian balboa"]
who did scarlett johansson date?	["Justin Timberlake", "Josh Hartnett", "Benicio del Toro", "Jared Leto", "Derek Jeter"]	["Josh Hartnett", "Derek Jeter", "Benicio del Toro", "Justin Timberlake", "Jared Leto"]
where are you from in malayalam?	["India"]	["India"]
what school did karl benz go to?	["Karlsruhe Institute of Technology", "University of Karlsruhe"]	["Karlsruhe Institute of Technology", "University of Karlsruhe"]
where did eleanor roosevelt die?	["New York City"]	["Manhattan"]
what did steve mcnair died from?	["Ballistic trauma"]	["Ballistic trauma"]
who is my state senator arizona?	["John McCain"]	[]
what jobs did robert burns have?	["Poet", "Writer", "Bard", "Author"]	["Poet", "Writer", "Author", "Bard"]
what places make up new england?	["Maine"]	["Maine", "New Hampshire", "Connecticut River", "Connecticut", "Rhode Island", "Waltham", "Southern New England", "Northern New England", "Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area", "Massachusetts", "Hillsborough County", "Vermont", "Metacomet Ridge", "Merrimack", "White Mountain National Forest", "Mason", "New England National Scenic Trail", "Milford", "White Mountains", "Nashua River Watershed", "New England Seamount chain", "Taconic Trails", "Deerfield River", "Province of the Massachusetts Bay in New England"]
what state is the steelers from?	["Pittsburgh"]	["Pittsburgh"]
what do people speak in germany?	["Bavarian Language", "German Language", "Saxon, Upper Language"]	["German Language"]
where does the celtics practice?	["TD Bank Garden"]	["TD Bank Garden", "XL Center"]
where did theodor schwann study?	["Humboldt University of Berlin"]	["Humboldt University of Berlin", "University of Bonn", "University of W\u00fcrzburg"]
who are serena williams parents?	["Richard Williams", "Oracene Price"]	["Oracene Price", "Richard Williams"]
what to do in rome october 2012?	["Sistine Chapel", "Piazza Navona", "Roman Forum", "Baths of Caracalla", "Castel Sant'Angelo", "Bocca della Verit\u00e0", "Pantheon", "St. Peter's Basilica", "Raphael Rooms", "Colosseum"]	["Villa d'Este", "Pineto Regional Park", "Villa Ada", "Villa Borghese gardens"]
what money do they use in spain?	["Euro"]	["Euro"]
what is sir isaac newton theory?	["Newton's laws of motion"]	["Mathematics", "Algebra"]
where did emperor hirohito live?	["Japan"]	["\u014cmiya Palace"]
where did hank marvin come from?	["Newcastle upon Tyne"]	["England"]
when did shaq come into the nba?	["1992 NBA Draft"]	["2003\u201304 NBA season", "2001\u201302 NBA season", "2000\u201301 NBA season", "1999\u20132000 NBA season", "1992\u201393 NBA season"]
when did romney become governor?	["1/2/2003"]	["2003-01-02"]
where does chef ina garten live?	["Brooklyn"]	["Brooklyn"]
what do portuguese people speak?	["Portuguese"]	["Portuguese Language"]
where did kate gosselin grew up?	["Philadelphia"]	["Philadelphia"]
where to stay in singapore blog?	["Central Region, Singapore"]	["Operation Jaywick", "Operation Rimau"]
what are italians classified as?	["Latin European peoples", "Europeans"]	["Italian Language", "Latin Language", "Friulian Language", "Sicilian Language", "Sardinian language", "Corsican Language", "Napoletano-Calabrese Language"]
what kind of government is mali?	["Semi-presidential system", "Republic", "Unitary state"]	["Republic", "Unitary state", "Semi-presidential system"]
where does delaware river start?	["West Branch Delaware River", "Mount Jefferson"]	["Mount Jefferson", "West Branch Delaware River"]
what is the kentucky state bird?	["Cardinal"]	["Cardinal"]
what is capital city of morocco?	["Rabat"]	["Rabat"]
what movies queen latifah is in?	["Taxi", "Jungle Fever", "Set It Off", "Stranger than Fiction", "Last Holiday", "Brown Sugar", "Ice Age: The Meltdown", "Ice Age: Dawn of the Dinosaurs", "Hairspray", "Bringing Down the House"]	["Chicago", "The Cookout", "Stranger than Fiction", "Hairspray", "Bringing Down the House", "Bringing Out the Dead", "The Muppets' Wizard of Oz", "Jungle Fever", "Last Holiday", "The Secret Life of Bees", "Barbershop 2: Back in Business", "The Dilemma", "Ice Age: The Meltdown", "Ice Age: Continental Drift", "The Making of What's Going On: An All-Star Tribute", "Valentine's Day", "Just Wright", "Ice Age: Dawn of the Dinosaurs", "Taxi", "Sphere", "Hoodlum", "The Bone Collector", "Mad Money", "The Perfect Holiday", "What Happens in Vegas", "Brown Sugar", "Joyful Noise", "Ice Age: A Mammoth Christmas", "Scary Movie 3", "Living Out Loud", "Beauty Shop", "The Country Bears", "Living with the Dead", "Kung Faux: Vol. 5", "One Love: The Bob Marley All-Star Tribute", "Life in the 310: Vol. 3", "The Official Inaugural Celebration", "House Party 2", "Kung Faux: Vol. 3", "Kung Faux: Vol. 2", "Life Support", "Steel Magnolias", "Kung Faux: Vol. 4", "My Life", "Breaking Out: The Alcatraz Concert", "Through the Years of Hip-Hop: Vol. 1: Graffiti", "Kung Faux: Vol. 1", "Set It Off", "Juice", "We Are Family", "Zac Efron's Pool Party", "Arctic Tale", "Hairspray 2: White Lipstick", "Queen Latifah: Unauthorized"]
what are staffordshire terriers?	["Dog"]	["Terrier Group"]
who is the leader of libya 2011?	["Muammar al-Gaddafi"]	["Muammar al-Gaddafi", "Abdul Hafiz Ghoga", "Mustafa Abdul Jalil", "Baghdadi Mahmudi", "Mohammed Ali Salim", "Abdessalam Jalloud", "Abdurrahim El-Keib", "Mustafa A.G. Abushagur", "Mohammed Magariaf", "Mahmud Sulayman al-Maghribi", "Ali Zeidan", "Mahmoud Jibril", "Ali Tarhouni", "Mohamed Abdelaziz"]
who did kimberly williams marry?	["Brad Paisley"]	["Brad Paisley"]
what do they do in cuba for fun?	["\u00a1Cuba! Art and History from 1868 to Today"]	["Cayo Coco", "Old Havana"]
what did gloria steinem founded?	["Coalition of Labor Union Women", "National Women's Political Caucus", "New York Media Holdings, LLC", "Women's Action Alliance", "Choice USA", "Feminist Majority Foundation", "Ms. Foundation for Women"]	["National Women's Political Caucus", "Coalition of Labor Union Women", "Feminist Majority Foundation", "New York Media Holdings, LLC", "Ms. Foundation for Women", "Choice USA", "Women's Action Alliance"]
who does myles kennedy sing for?	["Alter Bridge"]	["Alter Bridge", "Sadus", "The Mayfield Four", "Myles Kennedy and The Conspirators"]
who fought in the gulf war 1991?	["Saudi Arabia", "Australia", "United States of America", "France", "United Kingdom", "Argentina", "Iraq"]	["Colin Powell", "Hosni Mubarak", "Mirza Aslam Beg", "Saddam Hussein", "Sultan bin Abdulaziz", "Khalid bin Sultan", "Peshmerga", "George H. W. Bush", "Chuck Horner", "Norman Schwarzkopf, Jr.", "Jaber Al-Ahmad Al-Jaber Al-Sabah", "Dick Cheney", "Hafez al-Assad", "Abdullah of Saudi Arabia", "Peter de la Billi\u00e8re", "John A. Warden III", "Mustafa Tlass", "Coalition of the Gulf War", "John Major", "Fahd of Saudi Arabia", "Turki bin Faisal Al Saud", "Salah Aboud Mahmoud", "Saleh Al-Muhaya", "Mohamed Hussein Tantawi", "Calvin Waller", "Frederick M. Franks, Jr.", "John Chapple", "Patrick Hine", "Ali Hassan al-Majid", "Andrew Wilson", "Michel Roquejeoffre"]
what is the state motto of ohio?	["With God, all things are possible"]	["With God, all things are possible"]
what is claire danes famous for?	["Actor"]	["Actor", "Voice Actor"]
what year was allen iverson mvp?	["2000\u201301 NBA season"]	["2004\u201305 NBA season", "2000\u201301 NBA season", "1996\u201397 NBA season"]
